Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,hit_year
spotify:track:5JqZ3oqF00jkT81foAFvqg,Prisoner (feat. Dua Lipa),Prisoner (feat. Dua Lipa),Miley Cyrus;Dua Lipa,11/20/2020,169333,1,False,nick170708!,2024-02-01T17:29:31Z,pop,RCA Records Label,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,4,2020
spotify:track:6KfoDhO4XUWSbnyKjNp9c4,Maniac,Kid Krow,Conan Gray,3/20/2020,185773,76,False,nick170708!,2025-05-24T20:10:26Z,,Republic Records,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,4,2020
spotify:track:45S5WTQEGOB1VHr1Q4FuPl,Golden,Fine Line,Harry Styles,12/13/2019,208917,74,False,nick170708!,2024-09-17T16:08:51Z,,Columbia,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4,2020
spotify:track:4Lxseh0wN7N0ljiOh8KwbU,Come & Go (with Marshmello),Come & Go (with Marshmello),Juice WRLD;Marshmello,7/9/2020,205484,55,True,nick170708!,2024-02-01T17:29:31Z,"melodic rap,emo rap,edm",Joytime Collective/Grade A Productions/Interscope Records,0.625,0.811,0,-5.183,1,0.0659,0.0173,0.0,0.16,0.532,144.994,4,2020
spotify:track:7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Heaven & Hell,Ava Max,9/18/2020,162398,82,False,nick170708!,2025-01-07T22:12:49Z,,Atlantic Records,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,4,2020
spotify:track:2J4P46vCFm1rPkNkp9pZWX,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK;Selena Gomez,8/28/2020,175813,62,False,nick170708!,2024-02-01T17:29:31Z,k-pop,YG Entertainment/Interscope Records,0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989,4,2020
spotify:track:62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa;Emilee,11/26/2019,176546,74,False,nick170708!,2024-02-01T17:29:31Z,,Astralwerks,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,2020
spotify:track:3H7ihDc1dqLriiWXwsc2po,Breaking Me,Breaking Me,Topic;A7S,12/19/2019,166793,72,False,nick170708!,2024-02-01T17:29:31Z,,Intercord,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4,2020
spotify:track:3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello;Halsey,5/1/2020,172761,72,False,nick170708!,2024-02-01T17:29:31Z,edm,Astralwerks,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992,4,2020
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,Good News,Circles,Mac Miller,1/17/2020,342040,70,False,nick170708!,2024-02-01T17:29:31Z,,Warner Records,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4,2020
spotify:track:54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Therefore I Am,Billie Eilish,11/12/2020,174321,69,False,nick170708!,2024-02-01T17:29:31Z,,Darkroom/Interscope Records,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4,2020
spotify:track:7HMmFQsKsljwTw8bS7lu19,Rare,Rare,Selena Gomez,1/10/2020,220589,58,False,nick170708!,2024-02-01T17:29:31Z,,Interscope Records,0.838,0.541,5,-6.746,1,0.0708,0.207,7.97e-05,0.103,0.637,114.996,4,2020
spotify:track:6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Put Your Records On,Ritt Momney,4/24/2020,210463,68,False,nick170708!,2024-02-01T17:29:31Z,bedroom pop,Columbia,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4,2020
spotify:track:5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),Holy,Justin Bieber;Chance the Rapper,9/18/2020,212093,67,False,nick170708!,2024-02-01T17:29:31Z,,RBMG/Def Jam,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4,2020
